"Position","Nickname","Species","Nature","Gender","ESV","HP_Type","Ability","Move1","Move2","Move3","Move4","HeldItem","HP","ATK","DEF","SPA","SPD","SPE","MetLoc","EggLoc","Ball","OT","Version","OTLang","Legal","EC","PID","IV_HP","IV_ATK","IV_DEF","IV_SPA","IV_SPD","IV_SPE","EXP","Level","EV_HP","EV_ATK","EV_DEF","EV_SPA","EV_SPD","EV_SPE","Cool","Beauty","Cute","Smart","Tough","Sheen","NotOT","AbilityNum","GenderFlag","Form","PokerusStrain","PokerusDays","MetLevel","OriginalTrainerGender","FatefulEncounter","IsEgg","IsNicknamed","IsShiny","TID16","SID16","TSV","Move1_PP","Move2_PP","Move3_PP","Move4_PP","Move1_PPUp","Move2_PPUp","Move3_PPUp","Move4_PPUp","Relearn1","Relearn2","Relearn3","Relearn4","Checksum","Friendship","EggYear","EggMonth","EggDay","MetYear","MetMonth","MetDay"
"Black 1.sav @ [01] (BOX 1)-01: 0001 - BULBASAUR - E9AD82174E8F.pk5","BULBASAUR","Bulbasaur","Rash","M","6547","Steel","Overgrow","Tackle","Growl","Solar Beam","(None)","(None)","20","9","10","12","10","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","82174E8F","82174E8F","11","1","19","1","12","13","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","40","10","0","0","0","0","0","(None)","(None)","(None)","(None)","59821","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-02: 0002 - IVYSAUR - 898231E41621.pk5","IVYSAUR","Ivysaur","Relaxed","M","1272","Rock","Overgrow","Sleep Powder","Growl","Solar Beam","(None)","(None)","48","28","29","33","33","25","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","31E41621","31E41621","19","21","14","15","20","24","2583","16","0","0","0","0","0","9","0","0","0","0","0","0","N/A","-1","0","0","0","0","16","0","False","False","False","False","27719","26186","321","15","40","10","0","0","0","0","0","(None)","(None)","(None)","(None)","35202","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-03: 0003 - VENUSAUR - BA23E4177D5D.pk5","VENUSAUR","Venusaur","Rash","M","4905","Bug","Overgrow","Growl","Sleep Powder","Solar Beam","(None)","(None)","207","136","158","179","143","157","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","E4177D5D","E4177D5D","9","1","19","13","14","24","350661","70","52","95","139","55","30","139","0","0","0","0","0","0","N/A","-1","0","0","0","0","70","0","False","False","False","False","27719","26186","321","40","15","10","0","0","0","0","0","(None)","(None)","(None)","(None)","47651","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-04: 0004 - CHARMANDER - 8E427CEC5294.pk5","CHARMANDER","Charmander","Calm","M","1487","Electric","Blaze","Scratch","Growl","Flamethrower","(None)","(None)","19","9","10","12","11","12","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","7CEC5294","7CEC5294","11","22","24","31","17","10","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","40","15","0","0","0","0","0","(None)","(None)","(None)","(None)","36418","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-05: 0005 - CHARMELEON - 7FAC3457072B.pk5","CHARMELEON","Charmeleon","Quirky","M","1647","Electric","Blaze","Scratch","Growl","Flamethrower","Metal Claw","(None)","46","25","25","35","25","32","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","3457072B","3457072B","14","2","14","29","1","10","2703","16","0","0","0","0","0","10","0","0","0","0","0","0","N/A","-1","0","0","0","0","16","0","False","False","False","False","27719","26186","321","35","40","15","35","0","0","0","0","(None)","(None)","(None)","(None)","32684","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-06: 0006 - CHARIZARD - A94F3A3A639F.pk5","CHARIZARD","Charizard","Rash","M","2868","Flying","Blaze","Scratch","Smokescreen","Flamethrower","Metal Claw","(None)","111","73","69","103","69","87","Poké Transfer","(None)","Poké Ball","JON","LeafGreen","English","True","3A3A639F","3A3A639F","5","2","9","8","14","10","55479","39","3","24","7","18","6","5","0","0","0","0","0","0","N/A","-1","0","0","0","0","39","0","False","False","False","False","18634","57165","4848","35","20","15","35","0","0","0","0","(None)","(None)","(None)","(None)","43343","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-07: 0007 - SQUIRTLE - 1091A6F52DE9.pk5","SQUIRTLE","Squirtle","Naughty","M","4451","Psychic","Torrent","Tail Whip","Ice Beam","(None)","(None)","(None)","20","11","12","10","9","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","A6F52DE9","A6F52DE9","13","16","11","5","3","16","135","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","30","10","0","0","0","0","0","0","(None)","(None)","(None)","(None)","4241","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-08: 0008 - WARTORTLE - 6BBEAFD2FA35.pk5","WARTORTLE","Wartortle","Jolly","M","2748","Rock","Torrent","Bite","Ice Beam","(None)","(None)","(None)","56","35","41","30","43","35","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","AFD2FA35","AFD2FA35","2","21","14","11","24","14","6487","21","3","1","2","2","2","1","0","0","0","0","0","0","N/A","-1","0","0","0","0","21","0","False","False","False","False","27719","26186","321","25","10","0","0","0","0","0","0","(None)","(None)","(None)","(None)","27582","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-09: 0009 - BLASTOISE - B1E20C96DF80.pk5","BLASTOISE","Blastoise","Impish","M","6754","Electric","Torrent","Bite","Ice Beam","Skull Bash","(None)","(None)","159","112","150","99","126","106","Poké Transfer","(None)","Poké Ball","GREEN","LeafGreen","English","True","0C96DF80","0C96DF80","9","16","20","5","3","16","160612","55","19","53","80","66","34","51","0","0","0","0","0","0","N/A","-1","0","0","0","0","55","1","False","False","False","False","9896","10540","496","25","10","15","0","0","0","0","0","(None)","(None)","(None)","(None)","45538","70","1","1","1","2020","5","27"
"Black 1.sav @ [01] (BOX 1)-10: 0010 - CATERPIE - EE78EE5D5DE5.pk5","CATERPIE","Caterpie","Bashful","M","5751","Poison","Shield Dust","Tackle","String Shot","(None)","(None)","(None)","20","8","9","8","8","10","Poké Transfer","(None)","Poké Ball","RED","FireRed","English","True","EE5D5DE5","EE5D5DE5","11","4","24","30","26","23","125","5","0","0","0","0","0","0","0","0","0","0","0","0","N/A","-1","0","0","0","0","5","0","False","False","False","False","27719","26186","321","35","40","0","0","0","0","0","0","(None)","(None)","(None)","(None)","61048","70","1","1","1","2020","5","27"
